date,min,max,pm25,q1,q3,stdev,count
2020-04-10T00:00:00.000Z,0.1,2.15,0.43,0.22,1.18,0.572,195
2020-04-11T00:00:00.000Z,0.4,3,1.48,0.75,2.12,0.756,88
2020-04-12T00:00:00.000Z,0,13.77,1.95,0.88,4.08,3.25,325
2020-04-13T00:00:00.000Z,0.08,3,0.55,0.4,0.73,0.293,327
2020-04-14T00:00:00.000Z,0.1,8.02,0.62,0.32,0.84,0.615,312
2020-04-15T00:00:00.000Z,0.1,20.03,0.55,0.4,0.95,1.356,299
2020-04-16T00:00:00.000Z,0.06,2.35,0.4,0.22,0.6,0.327,303
2020-04-17T00:00:00.000Z,0.13,17.6,0.45,0.32,0.56,1.833,301
2020-04-18T00:00:00.000Z,0.1,31.75,0.62,0.48,0.8,3.107,324
2020-04-19T00:00:00.000Z,0.2,26.83,0.6,0.43,1.52,2.852,316
2020-04-20T00:00:00.000Z,0.2,3.68,0.6,0.47,0.8,0.439,288
2020-04-21T00:00:00.000Z,0.3,4.05,0.82,0.6,1.02,0.358,251
2020-04-22T00:00:00.000Z,0.25,1.67,0.68,0.54,0.82,0.236,257
2020-04-23T00:00:00.000Z,0.32,2.27,0.7,0.6,0.88,0.316,284
2020-04-24T00:00:00.000Z,0.1,1.08,0.32,0.23,0.5,0.18,305
2020-04-25T00:00:00.000Z,0,2.33,0.3,0.2,0.4,0.205,283
2020-04-26T00:00:00.000Z,0,2.35,0.7,0.44,1.17,0.509,311
2020-04-27T00:00:00.000Z,0.37,3.87,0.9,0.7,1.56,0.675,310
2020-04-28T00:00:00.000Z,0.4,3.75,0.85,0.68,1.09,0.377,232
2020-04-29T00:00:00.000Z,0.41,11.04,0.9,0.72,1.35,1.221,296
2020-04-30T00:00:00.000Z,0.7,7.07,2.34,1.5,3.2,1.376,313
2020-05-01T00:00:00.000Z,1.65,9.94,3.74,2.95,7.43,2.525,322
2020-05-02T00:00:00.000Z,0.2,13.9,0.65,0.5,1.1,1.733,308
2020-05-03T00:00:00.000Z,0.1,31.23,0.8,0.52,1.52,2.165,310
2020-05-04T00:00:00.000Z,0.1,6.2,0.5,0.4,0.75,0.696,298
2020-05-05T00:00:00.000Z,0.13,6.65,0.5,0.35,1.13,0.731,282
2020-05-06T00:00:00.000Z,0.22,10.74,0.73,0.55,1,0.906,339
2020-05-07T00:00:00.000Z,0.2,6.45,0.7,0.5,0.93,0.509,258
2020-05-08T00:00:00.000Z,0.55,5.28,1.6,1.21,2.27,0.778,230
2020-05-09T00:00:00.000Z,0.1,2.33,0.5,0.32,0.68,0.385,227
2020-05-10T00:00:00.000Z,0.1,5.9,2.18,1.44,3.7,1.428,135
2020-05-11T00:00:00.000Z,0.1,2.92,0.41,0.3,0.57,0.307,198
2020-05-12T00:00:00.000Z,0.1,5.18,0.5,0.35,0.65,0.351,278
2020-05-13T00:00:00.000Z,0,2.59,0.42,0.26,0.7,0.466,251
2020-05-14T00:00:00.000Z,0.25,3.7,0.6,0.44,1.01,0.46,284
2020-05-15T00:00:00.000Z,0.13,1.28,0.56,0.43,0.7,0.192,308
2020-05-16T00:00:00.000Z,0.15,4.68,0.43,0.37,0.52,0.546,203
2020-05-17T00:00:00.000Z,0,1.45,0.43,0.2,0.7,0.337,316
2020-05-18T00:00:00.000Z,0,1.52,0.3,0.15,0.68,0.306,289
2020-05-19T00:00:00.000Z,0.15,2.86,0.59,0.43,0.9,0.431,310
2020-05-20T00:00:00.000Z,0.1,5.03,0.6,0.4,0.85,0.393,309
2020-05-21T00:00:00.000Z,0.2,2.86,0.82,0.5,1.12,0.534,296
2020-05-22T00:00:00.000Z,0.3,3.67,1.17,0.8,1.58,0.541,341
2020-05-23T00:00:00.000Z,0.5,6.37,1.41,1,2.62,1.381,286
2020-05-24T00:00:00.000Z,0.98,5.35,2.45,2,3.1,0.908,288
2020-05-25T00:00:00.000Z,0.77,6,1.7,1.37,2.35,0.962,298
2020-05-26T00:00:00.000Z,0.3,5.75,1.27,0.94,1.75,0.629,285
2020-05-27T00:00:00.000Z,0.56,5.22,1.33,1.08,1.77,0.522,295
2020-05-28T00:00:00.000Z,0.1,2.5,0.6,0.3,1.02,0.475,292
2020-05-29T00:00:00.000Z,0.2,2.7,0.6,0.43,0.94,0.41,301
2020-05-30T00:00:00.000Z,0,2.8,0.4,0.28,0.5,0.319,307
2020-05-31T00:00:00.000Z,0.1,3.5,0.3,0.25,0.45,0.282,281
2020-06-01T00:00:00.000Z,0.17,4.59,0.8,0.56,0.98,0.472,263
2020-06-02T00:00:00.000Z,0.5,2.2,0.82,0.7,1.02,0.288,288
